start_time	end_time	label					
0.02	0.2	BG					
0.39	0.49	BG					
0.53	1.02	Cap					
1.059	1.449	Cap					
1.469	2.019	Cap					
2.039	2.199	Tip					
2.209	2.719	Pen					
2.848	3.997	BG					
4.038	4.848	Pen					
4.937	5.057	Pen					
5.077	5.177	Pen					
5.197	9.744	Pen					
9.764	12.023	Pen					
12.053	12.453	Pen					
12.643	14.702	Gauge					
14.751	14.931	Pen					
14.951	15.431	Cap					
15.451	15.861	Pen					
16.191	18.67	Tip					
18.789	18.959	BG					
19.059	19.239	BG					
19.289	23.207	Gauge					
23.247	23.627	Pen					
23.666	23.996	Pen					
24.066	24.256	Pen					
24.456	24.906	Pad					
24.916	25.336	Pad					
25.435	25.605	Pad					
25.615	28.963	Pad					
28.983	30.802	Pad					
31.182	31.332	Pen					
31.362	40.407	Pad					
40.577	40.907	Cap					
40.916	40.996	Cap					
41.046	41.116	Tip					
41.366	41.826	BG					
41.966	42.106	Tip					
42.116	50.851	Pen					
51.09	51.49	BG					
51.55	51.67	Pen					
51.71	52.03	Cap					
52.06	52.19	Pen					
52.23	52.85	Cap					
52.889	53.479	Cap					
53.529	53.669	BG					
53.689	54.578	Pen					
54.598	54.848	App					
54.998	55.318	BG					
55.358	57.037	App				
